1,1992,Barcelona,Summer
2,2012,London,Summer
3,1920,Antwerpen,Summer
4,1900,Paris,Summer
5,1988,Calgary,Winter
6,1992,Albertville,Winter
7,1994,Lillehammer,Winter
8,1932,Los Angeles,Summer
9,2002,Salt Lake City,Winter
10,1952,Helsinki,Summer
11,1980,Lake Placid,Winter
12,2000,Sydney,Summer
13,1996,Atlanta,Summer
14,1912,Stockholm,Summer
15,1924,Paris,Summer
16,2014,Sochi,Winter
17,1948,London,Summer
18,1998,Nagano,Winter
19,2006,Torino,Winter
20,2008,Beijing,Summer
21,2016,Rio de Janeiro,Summer
22,2004,Athina,Summer
23,1960,Squaw Valley,Winter
24,1964,Innsbruck,Winter
25,1984,Sarajevo,Winter
26,1984,Los Angeles,Summer
27,1968,Mexico City,Summer
28,1972,Munich,Summer
29,1988,Seoul,Summer
30,1936,Berlin,Summer
31,1952,Oslo,Winter
32,1956,Cortina d'Ampezzo,Winter
33,1956,Melbourne,Summer
34,1960,Roma,Summer
35,1928,Amsterdam,Summer
36,1976,Montreal,Summer
37,1980,Moskva,Summer
38,1964,Tokyo,Summer
39,2010,Vancouver,Winter
40,1968,Grenoble,Winter
41,1906,Athina,Summer
42,1972,Sapporo,Winter
43,1976,Innsbruck,Winter
44,1924,Chamonix,Winter
45,1904,St. Louis,Summer
46,1928,Sankt Moritz,Winter
47,1908,London,Summer
48,1948,Sankt Moritz,Winter
49,1932,Lake Placid,Winter
50,1936,Garmisch-Partenkirchen,Winter
51,1896,Athina,Summer
